,hero1,hero2
2000,MAGNUS,"LE FEY, MORGAN"
2001,DRAX/ARTHUR DOUGLAS,PIP/PRINCE GOFERN
2002,BOOMER/TABITHA SMITH,WARLOCK III
2003,CYCLOPS/SCOTT SUMMER,BEAST/HENRY &HANK& P
2004,CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE
2005,"MARTINELLI, VINCENT ",IRON MAN/TONY STARK 
2006,DR. STRANGE/STEPHEN ,MARVEL GIRL DOPPELGA
2007,"MADDICKS, ARTHUR ART",DESTINY II/IRENE ADL
2008,THING/BENJAMIN J. GR,MEDUSA/MEDUSALITH AM
2009,ANGEL/WARREN KENNETH,MARVEL GIRL/JEAN GRE
2010,PSYLOCKE/ELISABETH B,"CREED, GRAYDON"
2011,SHAMAN/MICHAEL TWOYO,CYCLOPS DOPPELGANGER
2012,"KLEINSTOCK, SVEN","URSULA, LADY"
2013,"SMALLWOOD, DAN",MENTALLO
2014,"JARVIS, EDWIN ",VISION 
2015,"NELSON, FRANKLIN FOG",LEFT HAND/DIEGO CASS
2016,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR
2017,VASHTI,SUB-MARINER/NAMOR MA
2018,SCARLET WITCH/WANDA ,SISTER PLEASURE/SCAR
2019,POLARIS/LORNA DANE,ANGEL/WARREN KENNETH
2020,LUDI,IRON MAN/TONY STARK 
2021,PUPPET MASTER/PHILLI,"PAIBOK, CAPT. [SKRUL"
2022,YELLOW CLAW ROBOT,"DE LA FONTAINE, CONT"
2023,"FURY, COL. NICHOLAS ",KINGPIN/WILSON FISK
2024,WIZ KID/TAKESHI MATS,BOOMER/TABITHA SMITH
2025,HATE,MOON KNIGHT/MARC SPE
2026,VYREK,HRILL
2027,IRON MAN/TONY STARK ,JACK OF HEARTS/JACK 
2028,REPTYL,SPRAGG
2029,MEGGAN,"BRADDOCK, JAMES JR. "
2030,MELLENCAMP,KAMAL
2031,ALCHEMY/THOMAS JONES,WIZ KID/TAKESHI MATS
2032,SERSI/SYLVIA,"KITCHENER, CHIEF INS"
2033,GATECRASHER,INFINITY II
2034,CYCLOPS/SCOTT SUMMER,CRYSTAL [INHUMAN]
2035,THING/BENJAMIN J. GR,KARNAK [INHUMAN]
2036,COLOSSUS II DOPPELGA,QUASAR DOPPELGANGER 
2037,PSYLOCKE/ELISABETH B,WONDER MAN/SIMON WIL
2038,STORM/ORORO MUNROE S,BISHOP /
2039,SPIDER-MAN/PETER PAR,"PARKER, MAY"
2040,"O'NEILL, DET. BRADY",MAGNIR
2041,VIBRATO/,TAI II
2042,DRUIG,MOONSTALKER/KIANA
2043,NAMORITA/NITA PRENTI,NIGHT THRASHER/DUANE
2044,WASP/JANET VAN DYNE ,BLACK BOLT/BLACKANTO
2045,GAMBIT/REMY LEBEAU ,"DRAKE, WILLIAM ROBER"
2046,HERCULES [GREEK GOD],ANT-MAN/DR. HENRY J.
2047,VISION ,SHANG-CHI
2048,THOR/DR. DONALD BLAK,TERMINUS
2049,BEETLE/ABNER RONALD ,"WATSON-PARKER, MARY "
2050,POSITRON/RONNIE,PROFESSOR X/CHARLES 
2051,CAPTAIN AMERICA | MU,SABRETOOTH | MUTANT 
2052,HULK/DR. ROBERT BRUC,"MASTERS, ALICIA REIS"
2053,MOONDRAGON/HEATHER D,TALISMAN II/ELIZABET
2054,PLUNDERER/LORD EDGAR,LOCKJAW [INHUMAN]
2055,SASQUATCH/WALTER LAN,QUASAR III/WENDELL V
2056,IRON MAN/TONY STARK ,NOVA/RICHARD RIDER
2057,"ST. CROIX, CLAUDETTE",WHITE QUEEN/EMMA FRO
2058,"CARTER, PEGGY",CAPTAIN AMERICA
2059,FANDRAL [ASGARDIAN],CERANDA
2060,DADDY LONGLEGS/RAMSE,"ERWIN, MORLEY"
2061,"CHANG, DR. PHILLIP",WHITE DRAGON II
2062,BLACK KNIGHT V/DANE ,MIKHLO
2063,COLOSSUS II/PETER RA,HUMAN TORCH/JOHNNY S
2064,SILVER SABLE,"SWANN, DR. EVAN"
2065,THOR/DR. DONALD BLAK,HUMAN TORCH/JOHNNY S
2066,WARHAWK III/TOM NAKA,WOLVERINE/LOGAN 
2067,BLACK WIDOW/NATASHA ,MELTER/BRUNO HORGAN
2068,"MILLER, FRANK","BLAKE, BECKY"
2069,"DEWOLFF, JEAN","ROBERTSON, JOE"
2070,IKARIS/IKE HARRIS [E,THING/BENJAMIN J. GR
2071,M,WARPY
2072,THING/BENJAMIN J. GR,NAMORITA/NITA PRENTI
2073,SELENE | MUTANT X-VE,BLOODSTORM | MUTANT 
2074,D.O.A.,"MADDICKS, ARTHUR ART"
2075,REJECT/RAN-SAK [DEVI,"RITTER, DONALD"
2076,DIAMONDHEAD/DYKER,CRIMEBUSTER/FRANK MO
2077,WALDO,BEAST/HENRY &HANK& P
2078,GAMBIT/REMY LEBEAU ,JUBILEE/JUBILATION L
2079,GEE/ALEX POWER,SUNDER
2080,SHAMAN/MICHAEL TWOYO,MOONDRAGON/HEATHER D
2081,FIRELORD/PYREUS KRIL,KRONOS
2082,SABRETOOTH/VICTOR CR,N'ASTIRH
2083,VINDICATOR II DOPPEL,DRAX/ARTHUR DOUGLAS
2084,BLACK CAT/FELICIA HA,"KANE, MARCY/KAINA"
2085,CERISE II [SHI'AR],"THOMAS, COMMANDER DA"
2086,IRON MAN IV/JAMES R.,SPIDER-WOMAN II/JULI
2087,VISION ,MARVEL GIRL/JEAN GRE
2088,"CUSHING, KATE","KATZENBERG, NICK"
2089,ROGUE /,PSYLOCKE/ELISABETH B
2090,DMITRI,WOLVERINE/LOGAN 
2091,"SIMPSON, CRASH",GHOST RIDER III/DAN 
2092,VISION ,CAPTAIN AMERICA
2093,THING/BENJAMIN J. GR,ANGEL/WARREN KENNETH
2094,"HUDSON, HEATHER",AURORA/JEANNE-MARIE 
2095,KINGPIN/WILSON FISK,"BOWEN, FATHER MICHAE"
2096,OVERRIDE/DR. GREGORY,"WATSON-PARKER, MARY "
2097,TRITON,HAWK
2098,"JAMESON, J. JONAH",SPIDER-MAN/PETER PAR
2099,TIGRA/GREER NELSON,HAWK
2100,OLD SKULL,GROK
2101,SPIDER-MAN CLONE/BEN,"JAMESON, COL. JOHN "
2102,TRITON,LOCKJAW [INHUMAN]
2103,BANSHEE/SEAN CASSIDY,THUNDERBIRD II/JAMES
2104,ANT-MAN/DR. HENRY J.,"STERMAN, ANDREA ANDI"
2105,DOORMAN,MOCKINGBIRD/DR. BARB
2106,MARVEL GIRL/JEAN GRE,MARROW/SARAH 
2107,SCARLET WITCH/WANDA ,HAWK
2108,ROGUE /,DIAMONDBACK II/RACHE
2109,BARON STRUCKER/WOLFG,"SENNET, PAMELA"
2110,MARILLA [INHUMAN],QUICKSILVER/PIETRO M
2111,"FURY, COL. NICHOLAS ",DEATH'S HEAD
2112,ANT-MAN/DR. HENRY J.,VISION 
2113,MS. MARVEL II/SHARON,BELASCO
2114,"CLEARWATER, JUDGE MA","WING, COLLEEN"
2115,"KLEINSTOCK, HARLAN","URSULA, LADY"
2116,DECAY/,"TYGER, LORD"
2117,ICEMAN/ROBERT BOBBY ,SINEW/
2118,HAWK,MAD DOG/COLONEL BUZZ
2119,EXPEDITER II/ZOE CUL,BLIND AL/ALTHEA
2120,JOCASTA,ULTRON
2121,CAPTAIN AMERICA,SCARLET WITCH/WANDA 
2122,MONTENEGRO,"WHYTE, HARMONY (HARM"
2123,SENSATIONAL HYDRA/A ,SCARLET WITCH/WANDA 
2124,"PETROVITCH, DMITRI",CATHODE/
2125,WHITE QUEEN/EMMA FRO,SNOWBIRD/NARYA/ANNE 
2126,MR. FANTASTIC DOPPEL,CYCLOPS/SCOTT SUMMER
2127,STRONG GUY/GUIDO CAR,FOXBAT
2128,PSYLOCKE/ELISABETH B,TRION
2129,SPIDER-MAN/PETER PAR,TOMBSTONE/LONNIE THO
2130,CHAMELEON/DMITRI SME,TOMBSTONE/LONNIE THO
2131,"COUNT NEFARIA, LUCHI",CAT MAN/HORGAN
2132,WARLOCK II/ADAM WARL,HERCULES [GREEK GOD]
2133,"HUDSON, HEATHER",SASQUATCH/WALTER LAN
2134,CANNONBALL II/SAM GU,"COOPER, DR. VALERIE"
2135,ZABU,SHANNA/SHANNA O'HARA
2136,"TALBOT, GLENN","NIXON, RICHARD"
2137,ICEMAN/ROBERT BOBBY ,SCARLET WITCH/WANDA 
2138,BLACK WIDOW/NATASHA ,MARVEL GIRL/JEAN GRE
2139,PROCTOR,"JARVIS, EDWIN "
2140,ERISHKIGEL II/HOLLY ,"HARKNESS, AGATHA"
2141,MARROW/SARAH ,COLOSSUS II/PETER RA
2142,SPIDER-WOMAN II/JULI,BLACK BRIGADE
2143,SANDMAN/WILLIAM BAKE,ROCKET RACER/ROBERT 
2144,POLARIS/LORNA DANE,THUNDERSTRIKE/ERIC K
2145,QUICKSILVER/PIETRO M,"STACY, CAPT. GEORGE"
2146,BETA RAY BILL | MUTA,MOON KNIGHT | MUTANT
2147,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY 
2148,PLAGUE,APOCALYPSE/EN SABAH 
2149,BEAST/HENRY &HANK& P,INVISIBLE WOMAN/SUE 
2150,"SUMMERS, MADELYNE MA",X-MAN/NATHAN GREY 
2151,ASTRONOMER,SHALLA BAL II
2152,CAPTAIN AMERICA,MAGIK/ILLYANA RASPUT
2153,SCANNER II/RHANLA,VANIUM
2154,GAMMENON [CELESTIAL],"DAMIAN, MARGO"
2155,DOORMAN,"BRIDGE, GEORGE WASHI"
2156,KYMRI,ROGUE /
2157,NUKLO/ROBERT FRANK J,LIVING LASER/ARTHUR 
2158,"RICHARDS, FRANKLIN B",HUMAN TORCH/JOHNNY S
2159,"CRAWLEY, BETRAND",NEDDA
2160,TRAUMA,HULK/DR. ROBERT BRUC
2161,SILVER SURFER IMPOST,MENTOR/ALARS [ETERNA
2162,VASHTI,SUB-MARINER/NAMOR MA
2163,PUNISHER II/FRANK CA,WATER WIZARD/PETE
2164,ZABU,KA-ZAR/KEVIN PLUNDER
2165,HILDEGARDE [ASGARDIA,VOLSTAGG
2166,SCARLET WITCH/WANDA ,ENCHANTRESS/AMORA/HE
2167,HINDSIGHT LAD/CARLTO,NOVA/RICHARD RIDER
2168,THING/BENJAMIN J. GR,IN-BETWEENER
2169,"VOGHT, AMELIA","KLEINSTOCK, HARLAN"
2170,HOGUN [ASGARDIAN],BLACK KNIGHT V/DANE 
2171,ARISHEM [CELESTIAL],RAGAR
2172,MOON KNIGHT/MARC SPE,DR. DRUID/ANTHONY LU
2173,INVISIBLE WOMAN/SUE ,MARVEL GIRL II/VALER
2174,DEAD HEAD/,"BANNER, BETTY ROSS T"
2175,ROGUE /,CRYSTAL [INHUMAN]
2176,ODIN [ASGARDIAN],SIF
2177,HAWK,CAPTAIN AMERICA
2178,ICE-MAN | MUTANT X-V,APOCALYPSE | MUTANT 
2179,ROGUE /,ADAM X
2180,SA'TNEEN,SCATTERBRAIN
2181,FALCON/SAM WILSON,SCARLET WITCH/WANDA 
2182,MR. FANTASTIC/REED R,"RICHARDS, FRANKLIN 2"
2183,"BLAKE, BECKY",KINGPIN/WILSON FISK
2184,MARILLA [INHUMAN],BLACK WIDOW/NATASHA 
2185,QUASAR III/WENDELL V,"JAMESON, COL. JOHN "
2186,SYBYL DORN,CRYSTAL [INHUMAN]
2187,DUSK III,MANX
2188,SCREAMING MIMI/MELIS,WARTON/WARBECK
2189,CYCLOPS/SCOTT SUMMER,SIRYN/THERESA ROURKE
2190,ARCLIGHT/PHILLIPA SO,"JAMESON, COL. JOHN "
2191,SPIDER-WOMAN II/JULI,SPIRAL
2192,BLACK PANTHER/T'CHAL,KRISTOFF/KRISTOFF VE
2193,"FAIRMONT, HANNAH",HELA [ASGARDIAN]
2194,POWER MAN/ERIK JOSTE,SCARLET WITCH/WANDA 
2195,RAGE/ELVIN DARYL HAL,BERYLLIUM
2196,QUICKSILVER/PIETRO M,INVISIBLE WOMAN/SUE 
2197,RED GUARDIAN III/DR.,"NORRISS, SISTER BARB"
2198,WATER WIZARD/PETE,"GILLISPIE, ANDREW AN"
2199,PATRIOT/JEFF MACE,MISS AMERICA/MADELIN
2200,SHADOWCAT/KATHERINE ,STARBOLT
2201,STORM/ORORO MUNROE S,BEAST/HENRY &HANK& P
2202,MEGGAN,CAPTAIN BRITAIN/BRIA
2203,PATRIOT/JEFF MACE,MISS AMERICA/MADELIN
2204,ANGEL/WARREN KENNETH,"CREED, GRAYDON"
2205,MEPHISTO,LOBO
2206,CANNONBALL II/SAM GU,WARLOCK III
2207,"LARGO, CHIEF",VISION 
2208,WASP/JANET VAN DYNE ,WONDER MAN/SIMON WIL
2209,"KENT, CLARK","CAGE, LUKE/CARL LUCA"
2210,"BANNER, BETTY ROSS T",BLACK BOLT/BLACKANTO
2211,HULK/DR. ROBERT BRUC,PROFESSOR X/CHARLES 
2212,TRITON,"RICHARDS, FRANKLIN B"
2213,KARNAK [INHUMAN],SVAROG
2214,HUMAN TORCH/JOHNNY S,DAREDEVIL/MATT MURDO
2215,WONDER MAN/SIMON WIL,SUPREME INTELLIGENCE
2216,HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
2217,COUNTERWEIGHT II/KAT,JUSTICE II/VANCE AST
2218,ECSTACY/MME. RENE DE,DAGGER/TANDY BOWEN
2219,COPPERHEAD III/DAVIS,CAPTAIN AMERICA
2220,CAPTAIN AMERICA,SCARLET WITCH/WANDA 
2221,LONGSHOT,GATEWAY
2222,PHOENIX II,COLOSSUS II/PETER RA
2223,SANDMAN/WILLIAM BAKE,MR. FANTASTIC/REED R
2224,DR. DOOM/VICTOR VON ,GAMORA
2225,MARVEL GIRL/JEAN GRE,WAR/ABRAHAM LINCOLN 
2226,SENTINELS,MASTER MOLD
2227,DIAMONDBACK II/RACHE,SNAPDRAGON/SHEOKE SA
2228,QUICKSILVER/PIETRO M,SCARLET WITCH/WANDA 
2229,MUNIN,CAPTAIN AMERICA
2230,NIGHTCRAWLER/KURT WA,HAVOK/ALEX SUMMERS 
2231,NEBULO,KRISTOFF/KRISTOFF VE
2232,TIMESLIP/RINA PATEL,HINDSIGHT LAD/CARLTO
2233,HUMAN TORCH/JOHNNY S,LYJA LAZERFIST [SKRU
2234,AURIC/,"HAMMER, JUSTIN"
2235,BEAST/HENRY &HANK& P,IRON MAN/TONY STARK 
2236,"URICH, BEN","WATSON-PARKER, MARY "
2237,AVALANCHE/DOMINIC PE,"COOPER, DR. VALERIE"
2238,TABUR,TIGRA/GREER NELSON
2239,SPIDER-MAN/PETER PAR,"ROBERTSON, JOE"
2240,SASQUATCH/WALTER LAN,THANOS
2241,VISION ,THING/BENJAMIN J. GR
2242,BLACK KNIGHT V/DANE ,SHADOWCAT/KATHERINE 
2243,SNOWBIRD/NARYA/ANNE ,NORTHSTAR/JEAN-PAUL 
2244,SIDEWINDER/SETH VOEL,ASP II/CLEO
2245,ROGUE /,PROFESSOR X/CHARLES 
2246,HAWK,WONDER MAN/SIMON WIL
2247,"LAVENDER, MAXINE","URICH, BEN"
2248,CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
2249,SILVER SURFER/NORRIN,MIRACLE MAN
2250,"STEWART, MACKINLEY",BLACK MOUNTAIN/KUROY
2251,MEDUSA/MEDUSALITH AM,CRYSTAL [INHUMAN]
2252,"ROSS, GEN. THADDEUS ","JARVIS, EDWIN "
2253,SUPREME INTELLIGENCE,STAR-STALKER
2254,MALEKITH/MALCOLM KEI,THOR/DR. DONALD BLAK
2255,ANT-MAN/DR. HENRY J.,DEATHUNT 9000
2256,IRON MAN IV/JAMES R.,GRAVITON/FRANK HALL
2257,VOSTOK,PERUN
2258,WONDER MAN/SIMON WIL,THOR/DR. DONALD BLAK
2259,"JONES, GABE",IRON MAN/TONY STARK 
2260,SPIDER-MAN/PETER PAR,"WATSON-PARKER, MARY "
2261,KEY/,"SUMMERS, NATHAN CHRI"
2262,HUMAN TORCH/JOHNNY S,PUPPET MASTER/PHILLI
2263,CLEA,HELLSTORM/DAIMON HEL
2264,INVISIBLE WOMAN/SUE ,"RICHARDS, FRANKLIN B"
2265,"WING, COLLEEN","YASHIDA, MARIKO"
2266,MIRAGE II/DANIELLE M,MAGMA/AMARA AQUILLA/
2267,SUNSPOT/ROBERTO DACO,ENTITY
2268,WIDGET,RAZA LONGKNIFE
2269,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
2270,SPRITE,SCARLET WITCH/WANDA 
2271,"NELSON, FRANKLIN FOG",DAREDEVIL/MATT MURDO
2272,"INDIGO, ODYSSEUS",SLEDGE
2273,"TARR, BLACK JACK",CAT III/SHEN KUEI
2274,HUMAN TORCH/JOHNNY S,BLACK KNIGHT V/DANE 
2275,BOX IV/MADISON JEFFR,SILVER
2276,MANBOT/BERNIE LACHEN,FLEX/ADRIAN CORBO
2277,S'YM,WOLFSBANE/RAHNE SINC
2278,BLAQUESMITH,X-MAN/NATHAN GREY 
2279,BLACK PANTHER/T'CHAL,ANT-MAN/DR. HENRY J.
2280,BLACK PANTHER/T'CHAL,SWORDSMAN/JACQUES DU
2281,HUMAN TORCH/JOHNNY S,SPIDER-MAN/PETER PAR
2282,SPITFIRE/LADY JACQUE,CAPTAIN AMERICA
2283,PHASTOS [ETERNAL],CATAPHRAX
2284,"JONES, RICHARD MILHO",FREDD
2285,"ROBERTSON, JOE","PARKER, MAY"
2286,VISION ,RAGE/ELVIN DARYL HAL
2287,FOREARM,RICTOR/JULIO ESTEBAN
2288,"MADDICKS, ARTHUR ART",LEECH
2289,HULK/DR. ROBERT BRUC,ODIN [ASGARDIAN]
2290,"DUGAN, TIMOTHY ALOYI",MR. FANTASTIC/REED R
2291,MEDUSA/MEDUSALITH AM,KALIKYA [INHUMAN]
2292,VISION ,BEAST/HENRY &HANK& P
2293,VOLSTAGG,HORUS [EGYPTIAN GOD]
2294,FORGOTTEN ONE/GILGAM,TIGRA/GREER NELSON
2295,THOR/DR. DONALD BLAK,CORSAIR
2296,STORM/ORORO MUNROE S,"WING, COLLEEN"
2297,"STANKOWICZ, FABIAN",THOR/DR. DONALD BLAK
2298,LORELEI,PROFESSOR X/CHARLES 
2299,PUCK/EUGENE MILTON J,NORTHSTAR/JEAN-PAUL 
2300,HERCULES [GREEK GOD],PILEDRIVER II/BRIAN 
2301,KARNAK [INHUMAN],CRYSTAL [INHUMAN]
2302,"HALL, MORGAN","SNOW, CHARLIE"
2303,SCARLET WITCH/WANDA ,"JAMESON, J. JONAH"
2304,MYSTERIA/,GYPSY MOTH
2305,MARVEL GIRL/JEAN GRE,"ST. CROIX, LOUIS"
2306,SERGEI,"BALLANTINE, KAYLA"
2307,HELIX/RAFAEL CARAGO,GEE/ALEX POWER
2308,THOR/DR. DONALD BLAK,WIZARD/BENTLEY WITTM
2309,ARCANNA/ARCANNA JONE,DR. DRUID/ANTHONY LU
2310,ICEMAN/ROBERT BOBBY ,BEAST/HENRY &HANK& P
2311,HINDSIGHT LAD/CARLTO,SPIDER-MAN CLONE/BEN
2312,RALF,GLADIATOR/MELVIN POT
2313,"STANKOWICZ, FABIAN",DR. DOOM/VICTOR VON 
2314,ULTIMUS,SPIDER-WOMAN II/JULI
2315,FANDRAL [ASGARDIAN],GENII/JASON KIMBALL
2316,MACHINE MAN/X-51,"HARRIS, EDDIE"
2317,BEAST/HENRY &HANK& P,PLAGUE
2318,CONSTRICTOR/FRANK PA,SUNSTROKE/
2319,HAWK,SHE-HULK/JENNIFER WA
2320,RAGE/ELVIN DARYL HAL,SMILING TIGER/
2321,FANDRAL [ASGARDIAN],LEIR
2322,FANDRAL [ASGARDIAN],HAROKIN [ASGARDIAN]
2323,LONGSHOT,"GREY, ELAINE"
2324,WARLOCK II/ADAM WARL,ANGEL/WARREN KENNETH
2325,MANGOG,HELA [ASGARDIAN]
2326,IRON FIST/DANIEL RAN,BLACK GOLIATH/DR. WI
2327,CONTROLLER/BASIL SAN,IRON MAN/TONY STARK 
2328,SATANNISH,MISFIT/
2329,COLOSSUS II/PETER RA,SNOWBIRD/NARYA/ANNE 
2330,GREEN GOBLIN IV/PHIL,ELECTRO/MAX DILLON
2331,HAWK,GAMBIT/REMY LEBEAU 
2332,KATHAR,KASEMA
2333,MR. FANTASTIC/REED R,VISION 
2334,"STACY, GWEN","THOMPSON, EUGENE FLA"
2335,"STONE, LT. MARCUS",MEPHISTO
2336,HAWK,IRON MAN/TONY STARK 
2337,WASP/JANET VAN DYNE ,SPIDER-MAN/PETER PAR
2338,MR. FANTASTIC/REED R,ARMADILLO/ANTONIO RO
2339,"WATSON-PARKER, MARY ",MAGNETO/MAGNUS/ERIC 
2340,LUPO,ZABU
2341,VISION ,HOGUN [ASGARDIAN]
2342,MYSTIQUE | MUTANT X-,MARVEL WOMAN | MUTAN
2343,MIDWIFE,WONG
2344,SUNSPOT/ROBERTO DACO,MYSTIQUE/RAVEN DARKH
2345,DR. DRUID/ANTHONY LU,"PUENTES, DONNA MARIA"
2346,"JONES, RICHARD MILHO",RHINO
2347,VISION ,LOCKJAW [INHUMAN]
2348,VISION ,BLACK PANTHER/T'CHAL
2349,BLITZIANA,ANAK
2350,DR. DOOM/VICTOR VON ,"JENNINGS, JOSEPH"
2351,BLACK PANTHER/T'CHAL,SUNFIRE/SHIRO YOSHID
2352,CYCLOPS/SCOTT SUMMER,"BOUDREAUX, BELLA DON"
2353,PENANCE/MONET ST. CR,LEECH
2354,"MESSENGER, TOBIAS","ROBINSON, LUCY"
2355,GOBLYN,PATHWAY/LAURA DEAN
2356,SCARLET WITCH/WANDA ,"HARKNESS, AGATHA"
2357,RADIUS/JARED CORBO,FLEX/ADRIAN CORBO
2358,HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR
2359,POWER PRINCESS/ZARDA,TOM THUMB/THOMAS THO
2360,GORGON [INHUMAN],NEBULA
2361,GAMBIT/REMY LEBEAU ,BISHOP /
2362,MEGATAK,FANDRAL [ASGARDIAN]
2363,ANT-MAN/DR. HENRY J.,BULLDOZER/HENRY CAMP
2364,DR. DOOM | MUTANT X-,BRUTE | MUTANT X-VER
2365,"SUMMERS, NATHAN CHRI",CANNONBALL II/SAM GU
2366,SCARLET WITCH/WANDA ,CAPTAIN AMERICA
2367,SMASHER IV,ERIC THE RED [SHI'AR
2368,BEAST/HENRY &HANK& P,MAJOR DOMO
2369,STARFOX/EROS,CAPTAIN MARVEL II/MO
2370,INVISIBLE WOMAN/SUE ,SASQUATCH/WALTER LAN
2371,"LANDERS, RAY",MOON KNIGHT/MARC SPE
2372,PUMA/THOMAS FIREHEAR,"JEROME, JASON"
2373,"DUGAN, TIMOTHY ALOYI",MOONBOY
2374,WINDY,"LANIEGE, BIANCA"
2375,TAIFU/TOSHIO SASAKI,IREZUMI/
2376,"CORSI, TOM","FRIEDLANDER, SHARON"
2377,"BANNER, BETTY ROSS T",IRON MAN/TONY STARK 
2378,"JAMESON, J. JONAH","LEEDS, BETTY BRANT"
2379,VISION ,TOM THUMB/THOMAS THO
2380,HULK/DR. ROBERT BRUC,NIGHTHAWK II/KYLE RI
2381,WARLOCK II/ADAM WARL,DR. STRANGE/STEPHEN 
2382,"REESE, MURRAY","MACON, ANGELO"
2383,ALBERT,SPIRAL
2384,"ROBERTSON, MARTHA",BLACK CAT/FELICIA HA
2385,CAPTAIN AMERICA,REDWING
2386,SANDMAN/WILLIAM BAKE,MYSTERIO/QUENTIN BEC
2387,MYSTERIO/QUENTIN BEC,"MURDOCK, SISTER MAGG"
2388,SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL
2389,BURNING PUDDLE,HARMONY
2390,HAVOK/ALEX SUMMERS ,FATALE/PAMELA GREENW
2391,AVALANCHE/DOMINIC PE,SUNDER
2392,"SLOAN, DR.","WHITMAN, DEBRA"
2393,"STONE, LT. MARCUS",ENCHANTRESS/AMORA/HE
2394,"COWEN, ELAINE","MCCABE, LINDSAY"
2395,"ZARRKO, ARTHUR",DESIGNATE/TARENE
2396,ANT-MAN/DR. HENRY J.,VENUS/APHRODITE/VICT
2397,DIABLO/ESTEBAN DE AB,DAREDEVIL/MATT MURDO
2398,IRON MAN/TONY STARK ,"GARVIN, GEARS"
2399,"OSBORN, HARRY","STACY, GWEN"
2400,NUADA,RINTRAH
2401,"WEI, LINDA","KETCH, BARBARA"
2402,DAREDEVIL/MATT MURDO,"OSBORN, HARRY"
2403,NIGHTCRAWLER/KURT WA,THUNDERBALL/DR. ELIO
2404,SPIDER-MAN/PETER PAR,"CLAYTON, KATRINKA JA"
2405,THING/BENJAMIN J. GR,CAPTAIN BARRACUDA
2406,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR
2407,SPIDER-MAN/PETER PAR,HULK/DR. ROBERT BRUC
2408,NAMORITA/NITA PRENTI,RIGHT
2409,FIREFALL IV/TARN,STARSHINE III/ANARRA
2410,ISAAC,IRON MAN IV/JAMES R.
2411,BOVA,CAPTAIN AMERICA
2412,"DRAKE, FRANKLIN",DR. SUN
2413,LUNA/LUNA MAXIMOFF [,MAM'SELLE HEPZIBAH
2414,KRISTOFF/KRISTOFF VE,SHE-HULK/JENNIFER WA
2415,LIVING LIGHTNING/MIG,GAMORA
2416,"JARVIS, EDWIN ",JOCASTA
2417,UATU,JUSTICE II/VANCE AST
2418,PROJECTOR/,"KLEINSTOCK, SVEN"
2419,X-CUTIONER/CARL DENT,QUESTA
2420,WONDER MAN/SIMON WIL,"RAHN, TAMARA"
2421,"KOWALSKI, TRISH",SPIDER-MAN CLONE/BEN
2422,GAMBIT/REMY LEBEAU ,ROGUE /
2423,SPIDER-MAN/PETER PAR,"PARKER, RICHARD (ROB"
2424,KATH,SCANNER II
2425,PSYLOCKE/ELISABETH B,SLEEPWALKER
2426,MARVEL GIRL/JEAN GRE,"FREDERICKS, GENERAL"
2427,DR. OCTOPUS II/CAROL,MASTER ZEI
2428,GIDEON,SHATTERSTAR II/GAVEE
2429,"CUSHING, KATE","RAVEN, SABBATH"
2430,FAITH,MAKKARI/MIKE KHARY/I
2431,"RENKO, DR. IRENO",CENTURY
2432,CALLISTO,FIRESTAR/ANGELICA JO
2433,"VERMIN, LADY",BOVA
2434,WONDER MAN/SIMON WIL,"COUNT NEFARIA, LUCHI"
2435,TIGRA/GREER NELSON,VISION 
2436,IRON FIST/DANIEL RAN,CAPTAIN AMERICA
2437,GAMBIT/REMY LEBEAU ,FIRESTAR DOPPELGANGE
2438,GAMBIT/REMY LEBEAU ,BEAST/HENRY &HANK& P
2439,LOCKJAW [INHUMAN],MR. FANTASTIC/REED R
2440,COLOSSUS II/PETER RA,RAZA LONGKNIFE
2441,HELIUM,NICKEL
2442,"JONES, GABE","NEVILLE, KATE"
2443,"SHIFFMAN, MAXIE","OSBORN, LIZ ALLAN"
2444,WHITE QUEEN/EMMA FRO,"RASPUTINA, ILLYANA I"
2445,HERCULES [GREEK GOD],SASQUATCH/WALTER LAN
2446,THUNDERBALL/DR. ELIO,BLACK KNIGHT V/DANE 
2447,SKADI,KANDRA
2448,VANISHER,VULTURE/ADRIAN TOOME
2449,BARNACLE/,SHADOWCAT/KATHERINE 
2450,THUNDERSTRIKE/ERIC K,MAGUS
2451,TRAPSTER/PETER PETRU,MR. FANTASTIC/REED R
2452,DIONYSUS [GREEK GOD],CAPTAIN MARVEL II/MO
2453,VISION ,TEXAS TWISTER/DREW D
2454,"RICHARDS, FRANKLIN B",HUMAN TORCH/JOHNNY S
2455,SPIDER-MAN/PETER PAR,"HOPKINS, STEVE"
2456,THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.
2457,DAKIMH THE ENCHANTER,CLEA
2458,MR. JUSTICE/TIMOTHY ,PIXIE/ [ETERNAL]
